Date,PCE,Saving,Credit,PCE_Index,Saving_Index,Credit_Index
2018-01-01,13541.3,5.7,3847835.29,100,100,100
2018-02-01,13547.3,5.8,3863797.02,100.0443089,101.754386,100.4148236
2018-03-01,13586.5,5.9,3876055.41,100.3337937,103.5087719,100.7334025
2018-04-01,13598.7,6,3883468.11,100.4238884,105.2631579,100.9260485
2018-05-01,13640.5,6,3900522.44,100.7325737,105.2631579,101.3692673
2018-06-01,13653.7,6.3,3902512.72,100.8300532,110.5263158,101.420992
2018-07-01,13682.7,6.5,3924685.82,101.0442129,114.0350877,101.9972406
2018-08-01,13711.5,6.6,3945881.92,101.2568956,115.7894737,102.5480984
2018-09-01,13687.1,6.8,3957685.36,101.0767061,119.2982456,102.8548537
2018-10-01,13727.1,6.7,3976272.51,101.3720987,117.5438596,103.3379085
2018-11-01,13800.3,6.5,3991704.17,101.9126672,114.0350877,103.7389563
2018-12-01,13682.3,8.4,4007041.95,101.041259,147.3684211,104.1375643
2019-01-01,13721.7,8.4,4027115.1,101.3322207,147.3684211,104.6592382
2019-02-01,13728.5,8.5,4039700.24,101.3824374,149.122807,104.9863088
2019-03-01,13824.8,7.9,4051968.06,102.0935951,138.5964912,105.3051327
2019-04-01,13825.9,7.6,4068537.58,102.1017184,133.3333333,105.735752
2019-05-01,13877.1,7.3,4083364.56,102.479821,128.0701754,106.121085
2019-06-01,13924.1,7.1,4093992.14,102.8269073,124.5614035,106.3972814
2019-07-01,13989.9,6.8,4117712.6,103.3128282,119.2982456,107.0137438
2019-08-01,14043.6,6.9,4134319.33,103.7093927,121.0526316,107.4453301
2019-09-01,14066.2,7,4146326.69,103.8762896,122.8070175,107.7573851
2019-10-01,14067.2,7.1,4163620.6,103.8836744,124.5614035,108.2068302
2019-11-01,14142.8,6.9,4164684.83,104.4419664,121.0526316,108.2344881
2019-12-01,14165.7,6.2,4192191.39,104.6110787,108.7719298,108.9493462
2020-01-01,14230.7,6.8,4171798.04,105.0910917,119.2982456,108.4193508
2020-02-01,14181.4,7.5,4185445.34,104.7270203,131.5789474,108.7740255
2020-03-01,13249.1,12.4,4171393.21,97.84215696,217.5438596,108.4088298
2020-04-01,11798.6,31.8,4106902.98,87.1304823,557.8947368,106.7328165
2020-05-01,12780.5,22.6,4090245.93,94.38163249,396.4912281,106.2999225
2020-06-01,13476.8,18.3,4102329.81,99.52367941,321.0526316,106.6139661
2020-07-01,13683.5,17.9,4118158.78,101.0501207,314.0350877,107.0253394
2020-08-01,13793,13.9,4113990.24,101.858758,243.8596491,106.9170048
2020-09-01,13964.6,13.3,4129452.39,103.1259923,233.3333333,107.318845
2020-10-01,14007.1,12.8,4134643.38,103.439847,224.5614035,107.4537517
2020-11-01,13970.3,12,4135719.78,103.1680858,210.5263158,107.4817259
2020-12-01,14026.7,11.8,4149026.48,103.5845894,207.0175439,107.8275489
2021-01-01,14204.7,19.5,4157826.38,104.8990865,342.1052632,108.0562463
